Timestamp              Source IP        Source Port  SNI                    Cipher Suite                                                                                              Category?
Apr 23, 2024 06:51:15  192.168.137.230  36186        updates2.signal.org    0x1301,0x1302,0x1303,0xc02b,0xc02c,0xcca9,0xc02f,0xc030,0xcca8                                            -
Apr 23, 2024 06:51:47  192.168.137.230  60049        turn3.voip.signal.org  0x1301,0x1302,0x1303,0xc02b,0xc02f,0xc02c,0xc030,0xcca9,0xcca8,0xc013,0xc014,0x009c,0x009d,0x002f,0x0035  Call
Apr 23, 2024 06:51:48  192.168.137.18   44261        turn3.voip.signal.org  0x1301,0x1302,0x1303,0xc02b,0xc02f,0xc02c,0xc030,0xcca9,0xcca8,0xc013,0xc014,0x009c,0x009d,0x002f,0x0035  Call
Apr 23, 2024 06:52:52  192.168.137.230  36270        updates2.signal.org    0x1301,0x1302,0x1303,0xc02b,0xc02c,0xcca9,0xc02f,0xc030,0xcca8                                            -
Apr 23, 2024 06:54:03  192.168.137.18   47381        turn3.voip.signal.org  0x1301,0x1302,0x1303,0xc02b,0xc02f,0xc02c,0xc030,0xcca9,0xcca8,0xc013,0xc014,0x009c,0x009d,0x002f,0x0035  Call
Apr 23, 2024 06:54:04  192.168.137.230  56019        turn3.voip.signal.org  0x1301,0x1302,0x1303,0xc02b,0xc02f,0xc02c,0xc030,0xcca9,0xcca8,0xc013,0xc014,0x009c,0x009d,0x002f,0x0035  Call
Apr 23, 2024 06:54:59  192.168.137.230  36322        updates2.signal.org    0x1301,0x1302,0x1303,0xc02b,0xc02c,0xcca9,0xc02f,0xc030,0xcca8                                            -
Apr 23, 2024 06:56:12  192.168.137.230  36326        updates2.signal.org    0x1301,0x1302,0x1303,0xc02b,0xc02c,0xcca9,0xc02f,0xc030,0xcca8                                            -
Apr 23, 2024 06:57:34  192.168.137.230  55912        updates2.signal.org    0x1301,0x1302,0x1303,0xc02b,0xc02c,0xcca9,0xc02f,0xc030,0xcca8                                            -
Apr 23, 2024 07:02:57  192.168.137.230  55946        updates2.signal.org    0x1301,0x1302,0x1303,0xc02b,0xc02c,0xcca9,0xc02f,0xc030,0xcca8                                            -
Apr 23, 2024 07:05:09  192.168.137.230  56002        updates2.signal.org    0x1301,0x1302,0x1303,0xc02b,0xc02c,0xcca9,0xc02f,0xc030,0xcca8                                            -
Apr 23, 2024 07:05:28  192.168.137.230  56028        updates2.signal.org    0x1301,0x1302,0x1303,0xc02b,0xc02c,0xcca9,0xc02f,0xc030,0xcca8                                            -
Apr 23, 2024 07:05:28  192.168.137.230  56030        updates2.signal.org    0x1301,0x1302,0x1303,0xc02b,0xc02c,0xcca9,0xc02f,0xc030,0xcca8                                            -
Apr 23, 2024 07:05:28  192.168.137.230  56034        updates2.signal.org    0x1301,0x1302,0x1303,0xc02b,0xc02c,0xcca9,0xc02f,0xc030,0xcca8                                            -
